"","ENSEMBL","SYMBOL","Length"
"3804","ENSG00000110713","NUP98",9905
"3805","ENSG00000110717","NDUFS8",4523
"3806","ENSG00000110719","TCIRG1",4384
"3807","ENSG00000110721","CHKA",3877
"3808","ENSG00000110723","EXPH5",10843
"3809","ENSG00000110756","HPS5",6433
"3810","ENSG00000110768","GTF2H1",6939
"3811","ENSG00000110777","POU2AF1",7416
"3813","ENSG00000110799","VWF",10391
"3814","ENSG00000110801","PSMD9",8774
"3815","ENSG00000110811","P3H3",4601
"3816","ENSG00000110841","PPFIBP1",11690
"3817","ENSG00000110844","PRPF40B",9444
"3818","ENSG00000110848","CD69",2832
"3819","ENSG00000110851","PRDM4",4777
"3820","ENSG00000110852","CLEC2B",2638
"3821","ENSG00000110871","COQ5",2523
"3822","ENSG00000110876","SELPLG",2494
"3823","ENSG00000110880","CORO1C",6532
"3824","ENSG00000110881","ASIC1",5745
"3826","ENSG00000110888","CAPRIN2",8392
"3828","ENSG00000110906","KCTD10",9865
"3829","ENSG00000110911","SLC11A2",9823
"3830","ENSG00000110917","MLEC",6723
"3831","ENSG00000110921","MVK",6473
"3832","ENSG00000110925","CSRNP2",5230
"3833","ENSG00000110931","CAMKK2",6931
"3834","ENSG00000110934","BIN2",4010
"3835","ENSG00000110944","IL23A",1187
"3836","ENSG00000110955","ATP5F1B",2322
"3837","ENSG00000110958","PTGES3",3399
"3839","ENSG00000110987","BCL7A",6565
"3840","ENSG00000111011","RSRC2",8741
"3841","ENSG00000111012","CYP27B1",3440
"3844","ENSG00000111052","LIN7A",6795
"3845","ENSG00000111057","KRT18",3218
"3846","ENSG00000111058","ACSS3",14301
"3847","ENSG00000111077","TNS2",8093
"3848","ENSG00000111087","GLI1",4204
"3849","ENSG00000111110","PPM1H",7063
"3850","ENSG00000111142","METAP2",4491
"3851","ENSG00000111144","LTA4H",7350
"3852","ENSG00000111145","ELK3",4648
"3853","ENSG00000111181","SLC6A12",5280
"3854","ENSG00000111186","WNT5B",4305
"3855","ENSG00000111196","MAGOHB",4856
"3856","ENSG00000111199","TRPV4",3759
"3857","ENSG00000111203","ITFG2",6250
"3858","ENSG00000111206","FOXM1",4899
"3859","ENSG00000111215","PRH1",3026
"3860","ENSG00000111215","PRR4",3026
"3862","ENSG00000111224","PARP11",6200
"3863","ENSG00000111229","ARPC3",3025
"3864","ENSG00000111231","GPN3",2595
"3865","ENSG00000111237","VPS29",3211
"3868","ENSG00000111247","RAD51AP1",2558
"3869","ENSG00000111249","CUX2",7648
"3870","ENSG00000111252","SH2B3",5682
"3871","ENSG00000111254","AKAP3",3668
"3872","ENSG00000111261","MANSC1",6015
"3874","ENSG00000111266","DUSP16",5724
"3875","ENSG00000111269","CREBL2",3922
"3876","ENSG00000111271","ACAD10",8931
"3877","ENSG00000111275","ALDH2",9720
"3878","ENSG00000111276","CDKN1B",2811
"3879","ENSG00000111291","GPRC5D",1124
"3880","ENSG00000111300","NAA25",10128
"3882","ENSG00000111319","SCNN1A",5876
"3883","ENSG00000111321","LTBR",6280
"3884","ENSG00000111325","OGFOD2",4608
"3885","ENSG00000111328","CDK2AP1",3117
"3886","ENSG00000111331","OAS3",8251
"3887","ENSG00000111335","OAS2",6264
"3889","ENSG00000111341","MGP",2639
"3890","ENSG00000111344","RASAL1",4813
"3891","ENSG00000111348","ARHGDIB",2102
"3892","ENSG00000111358","GTF2H3",3996
"3893","ENSG00000111361","EIF2B1",3627
"3894","ENSG00000111364","DDX55",5714
"3895","ENSG00000111371","SLC38A1",10015
"3897","ENSG00000111405","ENDOU",2679
"3898","ENSG00000111412","SPRING1",8664
"3899","ENSG00000111424","VDR",5674
"3901","ENSG00000111445","RFC5",3249
"3902","ENSG00000111450","STX2",3723
"3903","ENSG00000111452","ADGRD1",14718
"3904","ENSG00000111481","COPZ1",3901
"3905","ENSG00000111490","TBC1D30",8648
"3906","ENSG00000111530","CAND1",13655
"3907","ENSG00000111536","IL26",1075
"3908","ENSG00000111537","IFNG",1218
"3909","ENSG00000111540","RAB5B",6588
"3910","ENSG00000111554","MDM1",6549
"3911","ENSG00000111581","NUP107",8320
"3912","ENSG00000111596","CNOT2",13993
"3913","ENSG00000111602","TIMELESS",5818
"3914","ENSG00000111605","CPSF6",7190
"3915","ENSG00000111615","KRR1",10749
"3916","ENSG00000111639","MRPL51",1551
"3917","ENSG00000111640","GAPDH",2981
"3918","ENSG00000111641","NOP2",4687
"3919","ENSG00000111642","CHD4",7474
"3920","ENSG00000111644","ACRBP",2843
"3921","ENSG00000111647","UHRF1BP1L",6616
"3922","ENSG00000111652","COPS7A",3113
"3923","ENSG00000111653","ING4",2736
"3924","ENSG00000111664","GNB3",3437
"3925","ENSG00000111665","CDCA3",5653
"3926","ENSG00000111666","CHPT1",6004
"3927","ENSG00000111667","USP5",3738
"3928","ENSG00000111669","TPI1",2700
"3929","ENSG00000111670","GNPTAB",9620
"3930","ENSG00000111671","SPSB2",2452
"3931","ENSG00000111671","LOC105369632",2452
"3932","ENSG00000111674","ENO2",4281
"3933","ENSG00000111676","ATN1",4762
"3934","ENSG00000111678","C12orf57",1806
"3935","ENSG00000111679","PTPN6",5009
"3936","ENSG00000111684","LPCAT3",4725
"3937","ENSG00000111696","NT5DC3",8722
"3941","ENSG00000111707","SUDS3",5731
"3942","ENSG00000111711","GOLT1B",3789
"3943","ENSG00000111713","GYS2",3132
"3944","ENSG00000111716","LDHB",2983
"3945","ENSG00000111725","PRKAB1",6246
"3946","ENSG00000111726","CMAS",2018
"3947","ENSG00000111727","HCFC2",6773
"3948","ENSG00000111728","ST8SIA1",14483
"3949","ENSG00000111729","CLEC4A",1281
"3950","ENSG00000111731","C2CD5",6759
"3951","ENSG00000111732","AICDA",3115
"3952","ENSG00000111737","RAB35",4022
"3953","ENSG00000111752","PHC1",6090
"3954","ENSG00000111775","COX6A1",1344
"3956","ENSG00000111785","RIC8B",7795
"3957","ENSG00000111786","SRSF9",3744
"3958","ENSG00000111790","FGFR1OP2",5971
"3959","ENSG00000111796","KLRB1",1448
"3961","ENSG00000111801","BTN3A3",5658
"3962","ENSG00000111802","TDP2",3082
"3963","ENSG00000111816","FRK",13230
"3964","ENSG00000111817","DSE",15016
"3965","ENSG00000111832","RWDD1",5909
"3966","ENSG00000111834","RSPH4A",2840
"3967","ENSG00000111837","MAK",4226
"3968","ENSG00000111843","TMEM14C",1321
"3969","ENSG00000111845","PAK1IP1",1800
"3970","ENSG00000111846","GCNT2",9052
"3971","ENSG00000111850","SMIM8",8749
"3972","ENSG00000111850","LINC01590",8749
"3973","ENSG00000111859","NEDD9",10359
"3974","ENSG00000111860","CEP85L",9462
"3975","ENSG00000111863","ADTRP",4150
"3976","ENSG00000111875","ASF1A",2517
"3977","ENSG00000111877","MCM9",12496
"3978","ENSG00000111879","FAM184A",7791
"3979","ENSG00000111880","RNGTT",4916
"3980","ENSG00000111885","MAN1A1",5014
"3981","ENSG00000111886","GABRR2",2230
"3982","ENSG00000111897","SERINC1",3137
"3983","ENSG00000111906","HDDC2",5888
"3984","ENSG00000111907","TPD52L1",7595
"3985","ENSG00000111911","HINT3",3314
"3986","ENSG00000111912","NCOA7",7739
"3987","ENSG00000111913","RIPOR2",8018
"3988","ENSG00000111961","SASH1",9476
"3989","ENSG00000111962","UST",4563
"3991","ENSG00000111981","ULBP1",3142
"3992","ENSG00000112029","FBXO5",3833
"3993","ENSG00000112031","MTRF1L",4273
"3994","ENSG00000112033","PPARD",4457
"3996","ENSG00000112039","FANCE",2554
"3998","ENSG00000112053","SLC26A8",6036
"3999","ENSG00000112062","MAPK14",6860
"4001","ENSG00000112078","KCTD20",6239
"4002","ENSG00000112079","STK38",3576
"4003","ENSG00000112081","SRSF3",7118
"4004","ENSG00000112096","SOD2",18985
"4005","ENSG00000112110","MRPL18",1375
"4008","ENSG00000112118","MCM3",3650
"4009","ENSG00000112130","RNF8",6575
"4010","ENSG00000112137","PHACTR1",11200
"4011","ENSG00000112139","MDGA1",14187
"4012","ENSG00000112144","CILK1",6259
"4013","ENSG00000112146","FBXO9",8164
"4014","ENSG00000112149","CD83",2515
"4015","ENSG00000112159","MDN1",18602
"4017","ENSG00000112167","SAYSD1",2925
"4019","ENSG00000112182","BACH2",9786
"4022","ENSG00000112195","TREML2",3302
"4023","ENSG00000112200","ZNF451",16416
"4024","ENSG00000112208","BAG2",6651
"4025","ENSG00000112210","RAB23",4926
"4026","ENSG00000112212","TSPO2",988
"4028","ENSG00000112218","GPR63",5952
"4029","ENSG00000112232","KHDRBS2",2332
"4030","ENSG00000112234","FBXL4",8115
"4031","ENSG00000112237","CCNC",5765
"4033","ENSG00000112242","E2F3",5164
"4034","ENSG00000112245","PTP4A1",5796
"4036","ENSG00000112249","ASCC3",11731
"4039","ENSG00000112280","COL9A1",7059
"4040","ENSG00000112282","MED23",7412
"4041","ENSG00000112290","WASF1",3260
"4042","ENSG00000112293","GPLD1",4919
"4043","ENSG00000112294","ALDH5A1",5525
"4044","ENSG00000112297","CRYBG1",10374
"4045","ENSG00000112299","VNN1",3106
"4046","ENSG00000112303","VNN2",2633
"4047","ENSG00000112304","ACOT13",4394
"4048","ENSG00000112305","SMAP1",4161
"4049","ENSG00000112306","RPS12",767
"4050","ENSG00000112308","C6orf62",4134
"4051","ENSG00000112309","B3GAT2",6565
"4052","ENSG00000112312","GMNN",2476
"4054","ENSG00000112320","SOBP",6904
"4056","ENSG00000112335","SNX3",1842
"4058","ENSG00000112339","HBS1L",11099
"4059","ENSG00000112343","TRIM38",9413
"4060","ENSG00000112357","PEX7",1835
"4061","ENSG00000112365","ZBTB24",5519
"4062","ENSG00000112367","FIG4",3592
"4063","ENSG00000112378","PERP",4290
"4064","ENSG00000112379","ARFGEF3",14877
"4065","ENSG00000112394","SLC16A10",11237
"4066","ENSG00000112406","HECA",5614
"4067","ENSG00000112414","ADGRG6",8473
"4068","ENSG00000112419","PHACTR2",11224
"4069","ENSG00000112425","EPM2A",5662
"4075","ENSG00000112486","CCR6",4226
"4076","ENSG00000112493","TAPBP",4999
"4079","ENSG00000112511","PHF1",3596
"4080","ENSG00000112514","CUTA",1876
"4081","ENSG00000112530","PACRG",2612
"4082","ENSG00000112531","QKI",17368
"4087","ENSG00000112561","TFEB",5648
"4089","ENSG00000112576","CCND3",5802
"4090","ENSG00000112578","BYSL",2248
"4091","ENSG00000112584","FAM120B",6029
"4092","ENSG00000112592","TBP",2038
"4093","ENSG00000112599","GUCA1B",1113
"4094","ENSG00000112619","PRPH2",2976
"4095","ENSG00000112624","BICRAL",6843
"4096","ENSG00000112640","PPP2R5D",3314
"4097","ENSG00000112651","MRPL2",2539
"4098","ENSG00000112655","PTK7",9024
"4099","ENSG00000112658","SRF",4202
"4100","ENSG00000112659","CUL9",12251
"4101","ENSG00000112667","DNPH1",1250
"4102","ENSG00000112679","DUSP22",5686
"4103","ENSG00000112685","EXOC2",4983
"4104","ENSG00000112695","COX7A2",1922
"4105","ENSG00000112697","TMEM30A",5123
"4106","ENSG00000112699","GMDS",4304
"4107","ENSG00000112701","SENP6",11414
"4109","ENSG00000112715","VEGFA",14431
"4110","ENSG00000112739","PRPF4B",7859
"4111","ENSG00000112742","TTK",4579
"4112","ENSG00000112759","SLC29A1",3333
"4113","ENSG00000112761","CCN6",3202
"4114","ENSG00000112763","BTN2A1",3787
"4116","ENSG00000112773","TENT5A",6053
"4117","ENSG00000112782","CLIC5",8997
"4118","ENSG00000112787","FBRSL1",9311
"4119","ENSG00000112796","ENPP5",4264
"4120","ENSG00000112799","LY86",1254
"4121","ENSG00000112812","PRSS16",5290
"4124","ENSG00000112851","ERBIN",10216
"4126","ENSG00000112855","HARS2",3408
"4127","ENSG00000112874","NUDT12",4304
"4128","ENSG00000112877","CEP72",3658
"4129","ENSG00000112893","MAN2A1",11815
"4130","ENSG00000112902","SEMA5A",12097
"4132","ENSG00000112941","TENT4A",6785
"4134","ENSG00000112972","HMGCS1",4702
"4135","ENSG00000112977","DAP",3361
"4137","ENSG00000112983","BRD8",7046
"4138","ENSG00000112984","KIF20A",3958
"4139","ENSG00000112992","NNT",8245
"4140","ENSG00000112996","MRPS30",6202
"4141","ENSG00000113013","HSPA9",4751
"4142","ENSG00000113048","MRPS27",6511
"4143","ENSG00000113068","PFDN1",2156
"4144","ENSG00000113070","HBEGF",3018
"4145","ENSG00000113073","SLC4A9",3635
"4146","ENSG00000113083","LOX",5468
"4147","ENSG00000113088","GZMK",1570
"4149","ENSG00000113108","APBB3",4784
"4150","ENSG00000113119","TMCO6",3502
"4151","ENSG00000113140","SPARC",4831
"4152","ENSG00000113141","IK",4095
"4153","ENSG00000113161","HMGCR",6215
"4154","ENSG00000113163","CERT1",8697
"4155","ENSG00000113194","FAF2",5954
"4161","ENSG00000113231","PDE8B",6944
"4162","ENSG00000113240","CLK4",7924
"4164","ENSG00000113249","HAVCR1",2151
"4166","ENSG00000113263","ITK",8604
"4167","ENSG00000113269","RNF130",12822
"4168","ENSG00000113272","THG1L",3220
"4169","ENSG00000113273","ARSB",7189
"4170","ENSG00000113282","CLINT1",6368
"4171","ENSG00000113296","THBS4",4605
"4172","ENSG00000113300","CNOT6",6586
"4174","ENSG00000113303","BTNL8",3924
"4175","ENSG00000113312","TTC1",1938
"4176","ENSG00000113318","MSH3",4709
"4177","ENSG00000113319","RASGRF2",10702
"4179","ENSG00000113328","CCNG1",3096
"4180","ENSG00000113356","POLR3G",4019
"4181","ENSG00000113360","DROSHA",7780
"4183","ENSG00000113368","LMNB1",3633
"4184","ENSG00000113369","ARRDC3",4934
"4185","ENSG00000113384","GOLPH3",2785
"4186","ENSG00000113387","SUB1",9324
"4187","ENSG00000113389","NPR3",9866
"4188","ENSG00000113391","FAM172A",5071
"4190","ENSG00000113407","TARS1",5718
"4192","ENSG00000113441","LNPEP",15266
"4193","ENSG00000113448","PDE4D",15979
"4194","ENSG00000113456","RAD1",6766
"4195","ENSG00000113460","BRIX1",5011
"4197","ENSG00000113494","PRLR",13108
"4198","ENSG00000113504","SLC12A7",6009
"4199","ENSG00000113520","IL4",818
"4200","ENSG00000113522","RAD50",9771
"4202","ENSG00000113532","ST8SIA4",7794
"4203","ENSG00000113552","GNPDA1",3961
"4204","ENSG00000113555","PCDH12",6820
"4205","ENSG00000113558","SKP1",12771
"4206","ENSG00000113569","NUP155",9233
"4207","ENSG00000113575","PPP2CA",5661
"4209","ENSG00000113580","NR3C1",9172
"4210","ENSG00000113583","C5orf15",2422
"4211","ENSG00000113593","PPWD1",3777
"4213","ENSG00000113595","TRIM23",4807
"4214","ENSG00000113597","TRAPPC13",7049
"4216","ENSG00000113615","SEC24A",7201
"4217","ENSG00000113621","TXNDC15",5265
"4218","ENSG00000113638","TTC33",2612
"4219","ENSG00000113643","RARS1",3421
"4220","ENSG00000113645","WWC1",10076
"4221","ENSG00000113648","MACROH2A1",17730
"4222","ENSG00000113649","TCERG1",8714
"4223","ENSG00000113657","DPYSL3",7164
"4224","ENSG00000113658","SMAD5",8779
"4225","ENSG00000113712","CSNK1A1",7745
"4226","ENSG00000113716","HMGXB3",6263
"4227","ENSG00000113719","ERGIC1",14139
"4228","ENSG00000113721","PDGFRB",7137
"4230","ENSG00000113732","ATP6V0E1",1623
"4231","ENSG00000113734","BNIP1",2440
"4233","ENSG00000113742","CPEB4",10272
"4234","ENSG00000113749","HRH2",2565
"4235","ENSG00000113758","DBN1",5119
"4236","ENSG00000113761","ZNF346",4686
"4237","ENSG00000113763","UNC5A",4356
"4238","ENSG00000113790","EHHADH",4700
"4240","ENSG00000113810","SMC4",8457
"4241","ENSG00000113811","SELENOK",2165
"4242","ENSG00000113812","ACTR8",4066
"4243","ENSG00000113838","TBCCD1",3405
"4244","ENSG00000113845","TIMMDC1",2730
"4245","ENSG00000113851","CRBN",7163
"4246","ENSG00000113889","KNG1",3740
"4248","ENSG00000113916","BCL6",5938
"4249","ENSG00000113924","HGD",2983
"4251","ENSG00000113966","ARL6",4574
"4252","ENSG00000113971","NPHP3",9404
"4253","ENSG00000114013","CD86",3433
"4255","ENSG00000114021","NIT2",9264
"4256","ENSG00000114023","FAM162A",3793
"4257","ENSG00000114026","OGG1",8733
"4258","ENSG00000114030","KPNA1",8451
"4259","ENSG00000114054","PCCB",7532
"4260","ENSG00000114062","UBE3A",11766
"4261","ENSG00000114098","ARMC8",9848
"4262","ENSG00000114107","CEP70",4420
"4265","ENSG00000114120","SLC25A36",9277
"4266","ENSG00000114124","GRK7",3239
"4267","ENSG00000114125","RNF7",3147
"4268","ENSG00000114126","TFDP2",11897
"4269","ENSG00000114127","XRN1",11982
"4270","ENSG00000114166","KAT2B",5634
"4272","ENSG00000114204","SERPINI2",2835
"4273","ENSG00000114209","PDCD10",3275
"4275","ENSG00000114251","WNT5A",7531
"4276","ENSG00000114268","PFKFB4",6107
"4277","ENSG00000114270","COL7A1",11071
"4279","ENSG00000114302","PRKAR2A",6644
"4280","ENSG00000114315","HES1",2062
"4281","ENSG00000114316","USP4",6659
"4282","ENSG00000114331","ACAP2",11118
"4283","ENSG00000114346","ECT2",5499
"4285","ENSG00000114353","GNAI2",7650
"4286","ENSG00000114354","TFG",4994
"4289","ENSG00000114378","HYAL1",3132
"4290","ENSG00000114383","TUSC2",2406
"4291","ENSG00000114388","NPRL2",3677
"4292","ENSG00000114391","RPL24",2682
"4293","ENSG00000114395","CYB561D2",2086
"4294","ENSG00000114405","C3orf14",4430
"4295","ENSG00000114416","FXR1",12054
"4296","ENSG00000114423","CBLB",11840
"4297","ENSG00000114439","BBX",11877
"4298","ENSG00000114446","IFT57",3766
"4299","ENSG00000114450","GNB4",7035
"4300","ENSG00000114455","HHLA2",3627
"4301","ENSG00000114473","IQCG",7474
"4302","ENSG00000114480","GBE1",5171
"4304","ENSG00000114491","UMPS",7579
"4305","ENSG00000114503","NCBP2",5114
"4306","ENSG00000114520","SNX4",2709
"4307","ENSG00000114529","C3orf52",6021
"4308","ENSG00000114541","FRMD4B",9993
"4309","ENSG00000114544","SLC41A3",6592
"4310","ENSG00000114547","ROPN1B",4048
"4311","ENSG00000114554","PLXNA1",10944
"4312","ENSG00000114573","ATP6V1A",5130
"4313","ENSG00000114626","ABTB1",6149
"4314","ENSG00000114631","PODXL2",2186
"4316","ENSG00000114646","CSPG5",4366
"4317","ENSG00000114648","KLHL18",7064
"4318","ENSG00000114650","SCAP",6301
"4319","ENSG00000114654","EFCC1",2945
"4320","ENSG00000114656","CFAP92",7811
"4321","ENSG00000114670","NEK11",5355
"4322","ENSG00000114686","MRPL3",2715
"4323","ENSG00000114698","PLSCR4",4227
"4324","ENSG00000114735","HEMK1",19425
"4325","ENSG00000114737","CISH",5112
"4326","ENSG00000114738","MAPKAPK3",3921
"4327","ENSG00000114739","ACVR2B",15744
"4328","ENSG00000114742","WDR48",7488
"4329","ENSG00000114744","COMMD2",4901
"4330","ENSG00000114745","GORASP1",6256
"4331","ENSG00000114757","PEX5L",10236
"4332","ENSG00000114767","RRP9",1578
"4333","ENSG00000114770","ABCC5",11441
"4335","ENSG00000114779","ABHD14B",3161
"4336","ENSG00000114784","EIF1B",1912
"4339","ENSG00000114796","KLHL24",8650
"4340","ENSG00000114805","PLCH1",7173
"4341","ENSG00000114812","VIPR1",7384
"4342","ENSG00000114841","DNAH1",13872
"4343","ENSG00000114850","SSR3",4627
"4344","ENSG00000114853","ZBTB47",3781
"4345","ENSG00000114854","TNNC1",1168
"4346","ENSG00000114857","NKTR",17356
"4347","ENSG00000114859","CLCN2",4290
"4348","ENSG00000114861","FOXP1",13628
"4349","ENSG00000114867","EIF4G1",8257
"4350","ENSG00000114902","SPCS1",5324
"4351","ENSG00000114904","NEK4",6391
"4352","ENSG00000114923","SLC4A3",5091
"4353","ENSG00000114933","INO80D",14373
"4354","ENSG00000114942","EEF1B2",1915
"4355","ENSG00000114948","ADAM23",6421
"4356","ENSG00000114956","DGUOK",1455
"4357","ENSG00000114978","MOB1A",6440
"4358","ENSG00000114982","KANSL3",9015
"4359","ENSG00000114988","LMAN2L",2709
"4360","ENSG00000114993","RTKN",5005
"4361","ENSG00000114999","TTL",15732
"4362","ENSG00000115008","IL1A",2124
"4363","ENSG00000115009","CCL20",1343
"4364","ENSG00000115020","PIKFYVE",10832
"4366","ENSG00000115042","FAHD2A",5665
"4367","ENSG00000115053","NCL",6929
"4368","ENSG00000115073","ACTR1B",2892
"4369","ENSG00000115084","SLC35F5",7445
"4370","ENSG00000115085","ZAP70",5111
"4371","ENSG00000115091","ACTR3",12049
"4372","ENSG00000115107","STEAP3",4562
"4373","ENSG00000115109","EPB41L5",9281
"4374","ENSG00000115112","TFCP2L1",9372
"4375","ENSG00000115128","SF3B6",1197
"4376","ENSG00000115129","TP53I3",2312
"4377","ENSG00000115137","DNAJC27",5624
"4378","ENSG00000115138","POMC",1538
"4379","ENSG00000115145","STAM2",7005
"4380","ENSG00000115155","OTOF",7885
"4381","ENSG00000115159","GPD2",7155
"4382","ENSG00000115163","CENPA",1983
"4383","ENSG00000115165","CYTIP",3428
"4384","ENSG00000115170","ACVR1",3990
"4385","ENSG00000115183","TANC1",14921
"4387","ENSG00000115204","MPV17",5625
"4388","ENSG00000115207","GTF3C2",5839
"4389","ENSG00000115211","EIF2B4",5341
"4390","ENSG00000115216","NRBP1",5329
"4391","ENSG00000115221","ITGB6",6357
"4393","ENSG00000115232","ITGA4",7901
"4394","ENSG00000115233","PSMD14",7698
"4395","ENSG00000115234","SNX17",3765
"4396","ENSG00000115239","ASB3",6299
"4397","ENSG00000115239","GPR75-ASB3",6299
"4398","ENSG00000115241","PPM1G",4092
"4400","ENSG00000115255","REEP6",2449
"4401","ENSG00000115257","PCSK4",3792
"4403","ENSG00000115266","APC2",12610
"4404","ENSG00000115267","IFIH1",4528
"4405","ENSG00000115268","RPS15",2137
"4406","ENSG00000115271","GCA",3664
"4407","ENSG00000115274","INO80B",1522
"4408","ENSG00000115275","MOGS",3234
"4409","ENSG00000115282","TTC31",5094
"4410","ENSG00000115286","NDUFS7",7533
"4411","ENSG00000115289","PCGF1",2629
"4412","ENSG00000115290","GRB14",2958
"4413","ENSG00000115295","CLIP4",7775
"4415","ENSG00000115306","SPTBN1",18504
"4416","ENSG00000115307","AUP1",2634
"4417","ENSG00000115310","RTN4",6644
"4418","ENSG00000115317","HTRA2",3001
"4419","ENSG00000115318","LOXL3",4363
"4420","ENSG00000115325","DOK1",3049
"4421","ENSG00000115339","GALNT3",4686
"4422","ENSG00000115350","POLE4",2151
"4424","ENSG00000115355","CCDC88A",14537
"4427","ENSG00000115364","MRPL19",4601
"4428","ENSG00000115365","LANCL1",5254
"4429","ENSG00000115368","WDR75",5066
"4432","ENSG00000115392","FANCL",2412
"4433","ENSG00000115414","FN1",17315
"4434","ENSG00000115415","STAT1",6053
"4435","ENSG00000115419","GLS",9827
"4436","ENSG00000115421","PAPOLG",8501
"4437","ENSG00000115423","DNAH6",13514
"4438","ENSG00000115425","PECR",3182
"4439","ENSG00000115446","UNC50",2230
"4440","ENSG00000115457","IGFBP2",4767
"4441","ENSG00000115459","ELMOD3",7259
"4443","ENSG00000115464","USP34",18125
"4444","ENSG00000115468","EFHD1",3052
"4445","ENSG00000115474","KCNJ13",2977
"4446","ENSG00000115484","CCT4",2830
"4447","ENSG00000115486","GGCX",9098
"4449","ENSG00000115504","EHBP1",8219
"4451","ENSG00000115514","TXNDC9",2816
"4452","ENSG00000115520","COQ10B",2722
"4453","ENSG00000115523","GNLY",3051
"4454","ENSG00000115524","SF3B1",9164
"4455","ENSG00000115525","ST3GAL5",5549
"4456","ENSG00000115526","CHST10",4487
"4457","ENSG00000115539","PDCL3",1831
"4458","ENSG00000115540","MOB4",4296
"4459","ENSG00000115541","HSPE1",1977
"4460","ENSG00000115548","KDM3A",13423
"4461","ENSG00000115556","PLCD4",5867
"4462","ENSG00000115561","CHMP3",7183
"4463","ENSG00000115568","ZNF142",6994
"4464","ENSG00000115590","IL1R2",3073
"4465","ENSG00000115592","PRKAG3",3334
"4467","ENSG00000115594","IL1R1",7083
"4468","ENSG00000115596","WNT6",1703
"4469","ENSG00000115598","IL1RL2",2644
"4470","ENSG00000115602","IL1RL1",5746
"4471","ENSG00000115604","IL18R1",4353
"4472","ENSG00000115607","IL18RAP",2966
"4474","ENSG00000115641","FHL2",6626
"4476","ENSG00000115649","CNPPD1",2760
"4477","ENSG00000115652","UXS1",7023
"4478","ENSG00000115657","ABCB6",5205
"4479","ENSG00000115661","STK16",4368
"4481","ENSG00000115677","HDLBP",12182
"4482","ENSG00000115685","PPP1R7",3781
"4483","ENSG00000115687","PASK",10686
"4484","ENSG00000115694","STK25",7584
"4486","ENSG00000115718","PROC",2495
"4487","ENSG00000115738","ID2",2205
"4488","ENSG00000115750","TAF1B",4064
"4489","ENSG00000115756","HPCAL1",6237
"4490","ENSG00000115758","ODC1",2968
"4491","ENSG00000115760","BIRC6",17723
"4492","ENSG00000115761","NOL10",3824
"4493","ENSG00000115762","PLEKHB2",6728
"4494","ENSG00000115806","GORASP2",5340
"4495","ENSG00000115808","STRN",8345
"4496","ENSG00000115816","CEBPZ",3629
"4497","ENSG00000115825","PRKD3",10244
"4498","ENSG00000115827","DCAF17",7657
"4499","ENSG00000115828","QPCT",2599
"4500","ENSG00000115839","RAB3GAP1",6629
"4501","ENSG00000115840","SLC25A12",5169
"4502","ENSG00000115841","RMDN2",5999
"4504","ENSG00000115850","LCT",6586
"4505","ENSG00000115866","DARS1",4014
"4506","ENSG00000115875","SRSF7",4045
"4507","ENSG00000115884","SDC1",3595
"4508","ENSG00000115896","PLCL1",8013
"4509","ENSG00000115902","SLC1A4",6939
"4510","ENSG00000115904","SOS1",9263
"4511","ENSG00000115919","KYNU",17600
"4512","ENSG00000115935","WIPF1",9121
"4513","ENSG00000115942","ORC2",5835
"4514","ENSG00000115944","COX7A2L",5605
"4515","ENSG00000115946","PNO1",2674
"4516","ENSG00000115947","ORC4",8915
"4517","ENSG00000115956","PLEK",3314
"4519","ENSG00000115966","ATF2",5751
"4520","ENSG00000115970","THADA",14220
"4521","ENSG00000115977","AAK1",23608
"4522","ENSG00000115993","TRAK2",7627
"4523","ENSG00000115998","C2orf42",3630
"4524","ENSG00000116001","TIA1",6607
"4525","ENSG00000116005","PCYOX1",5870
"4526","ENSG00000116014","KISS1R",1680
"4527","ENSG00000116016","EPAS1",7302
"4528","ENSG00000116017","ARID3A",7210
"4529","ENSG00000116030","SUMO1",2164
"4530","ENSG00000116031","CD207",1869
"4531","ENSG00000116032","GRIN3B",3281
"4534","ENSG00000116044","NFE2L2",5979
"4535","ENSG00000116062","MSH6",10993
"4536","ENSG00000116095","PLEKHA3",14193
"4537","ENSG00000116096","SPR",1480
"4538","ENSG00000116106","EPHA4",7554
"4539","ENSG00000116117","PARD3B",10382
"4540","ENSG00000116120","FARSB",3369
"4541","ENSG00000116127","ALMS1",14054
"4542","ENSG00000116128","BCL9",6420
"4544","ENSG00000116133","DHCR24",4250
"4545","ENSG00000116138","DNAJC16",8563
"4546","ENSG00000116141","MARK1",5417
"4547","ENSG00000116147","TNR",12960
"4548","ENSG00000116151","MORN1",11337
"4549","ENSG00000116157","GPX7",1691
"4550","ENSG00000116161","CACYBP",4511
"4551","ENSG00000116171","SCP2",8305
"4554","ENSG00000116191","RALGPS2",9178
"4555","ENSG00000116194","ANGPTL1",3403
"4556","ENSG00000116198","CEP104",7876
"4557","ENSG00000116199","FAM20B",6039
"4558","ENSG00000116205","TCEANC2",12165
"4559","ENSG00000116209","TMEM59",9149
"4560","ENSG00000116212","LRRC42",2411
"4561","ENSG00000116213","WRAP73",7604
"4563","ENSG00000116221","MRPL37",2549
"4564","ENSG00000116237","ICMT",4910
"4565","ENSG00000116251","RPL22",4900
